name|price|description|category|rating|source
CANON Zoemini 2 (Thermosublimation, ZINK, 313 x 500 dpi)|109.95|Mit dem Canon Zoemini 2 Mini-Drucker kannst du jederzeit und überall deine Schnappschüsse ausdrucken. Dieser kompakte und leichte mobile Fotodrucker macht aus deinen Smartphone-Aufnahmen reissfeste und wasserabweisende Foto-Sticker, die du mit anderen teilen kannst. Mit der Canon Mini Print App kannst du die Fotos vor dem Drucken personalisieren und kreativ gestalten. Die Bluetooth®-Technologie und der tintenfreie ZINK™ Druck machen die Bedienung ganz einfach. Und in nur 50 Minuten ist der Akku über USB-C wieder aufgeladen.|Computer & Gaming||interdiscount
CANON PG-545/CL-546 (Gelb, Schwarz, Magenta, Cyan, Duopack)|46.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON i-SENSYS MF655Cdw (Laserdrucker, Farbe, WLAN)|249.95|Druckertyp: Farbig, Drucktechnik: Laser, Total Fassungsvermögen Papierzuführungen: 250 Seiten, Mobildruck: Ja, Anzahl Papierzuführungen (maximal): 1, Druckgeschwindigkeit (farbig): 21 ppm|Computer & Gaming||interdiscount
CANON PG-575/CL-576 (Gelb, Schwarz, Magenta, Cyan, Duopack)|34.0|Dieses Fotopapier-Vorteilspaket ist deine praktische Lösung für kosteneffizientes Drucken. Es enthält eine CL-576 6,2-ml-Farbpatrone zum Drucken von bis zu 100 A4-Seiten¹ und eine PG-575 5,6-ml-Tintenpatrone zum Drucken von bis zu 100 A4-Seiten.¹ Das Paket umfasst zudem 50 Seiten GP-501 Foto Glanzpapier im Format 10 x 15 cm, mit dem du Fotos in Laborqualität drucken kannst.|Computer & Gaming||interdiscount
CANON PG-545XL (Schwarz, 1 Stück)|34.95|Die CANON PG 545XL (Schwarz, 1 Stück) ermöglicht Ihnen den Druck von bis zu 400 Blatt, in einer ausgesprochen hochwertigen Qualität und Farbintensität.Durch den 15 ml Tank hat die Einzelpatrone eine hohe Kapazität von 400 Blatt. Damit übersteigt die CANON Patrone den durchschnittlichen Marktwert um das 2.2 fache im Bereich der Kapazität von Standard Patronen. Die Tinte sorgt mit einem tiefen Schwarz und der Fähigkeit sogar kleinste Details deutlich darstellen zu können, für eine exzellente Qualität. Des Weiteren ist die CANON Patrone mit sämtlichen Druckern der CANON PIXMA Reihe kompatibel.|Computer & Gaming||interdiscount
CANON CL-546XL (Gelb, Magenta, Cyan, 1 Stück)|29.95|Die Die CANON CL-546XL ist eine Einzelpatrone, die in den Farben Gelb, Cyan und Magenta erhältlich ist und über ein Tintenvolumen von 13 ml verfügt.Dadurch können Sie bis zu 300 Seiten drucken. Wenn Sie sich doch für originale Canon XL-Tinten entscheiden, erhalten Sie deutlich mehr Ausdrucke für Ihr Geld und dabei müssen Sie noch nicht einmal Kompromisse in Sachen Qualität eingehen. Schließlich ermöglichen PIXMA XL-Tinten das Drucken von deutlich mehr Seiten als die Standardpatronen und erhöhen so auch die Dauer zwischen dem Austauschen der Patronen. Sie sind somit perfekt für alle Viel-Drucker.|Computer & Gaming||interdiscount
CANON Pixma TS3351 (Tintendrucker, Farbe, WLAN)|49.95|Kompakt und einfach bedienbar ist der TS3350 die ideale Wahl für alle, die einen preisgünstigen Allrounder suchen. Der Drucker ist schnell eingerichtet und die WLAN-Verbindung ist auf Knopfdruck hergestellt – einfacher kann man kaum loslegen. Mit der Canon PRINT App kannst du drucken, kopieren und die Verbindung zur Cloud¹ herstellen – ganz ohne PC. Alternativ kannst du auch ohne die App drucken: mit AirPrint (iOS) und Mopria (Android). Dank FINE Druckkopf mit ChromaLife100 Tinten werden Dokumente scharf und Fotos überzeugen mit leuchtenden Farben. Die Easy-PhotoPrint Editor App und Creative Park eröffnen dir zahlreiche kreative Möglichkeiten. Der vielseitige Papiereinzug hinten ermöglicht die Zufuhr von diversen Druckmedien für eine ungehinderte Kreativität.|Computer & Gaming||interdiscount
CANON CLI-581 (Photo Blue, 1 Stück)|19.95|Die CANON Patrone CLI 581PB ist qualitativ so gut, dass Sie nicht nur Dokumente und Farbdokumente bedrucken können, sondern sogar hochauflösende Photos.Durch die Farbe in Verbindung mit dem passenden Papier werden die kräftigen Farben selbst nach einer langen Zeit nicht verblassen. Um langfristig Erinnerungen festzuhalten, sollten Sie sich für die Originalpatronen entscheiden. Jede Kartusche enthält 70 ml Tinte, sodass Sie nicht nur qualitativ hochwertige, intensive Photos erhalten, sondern zusätzlich noch lange Freude daran haben werden, bis Sie wieder neue Tinte besorgen müssen. Entscheiden Sie sich für den CANON Standard.|Computer & Gaming||interdiscount
CANON CL-586 (Mehrfarbig, 1 Stück)|31.95|to PIXMA TS-Serie 9.9ml|Computer & Gaming||interdiscount
CANON MC-G01 (Schwarz, 1 Stück)|22.9|Zubehörtyp: Wartungskit|Computer & Gaming||interdiscount
